"","OTU","Sample","Abundance","Group","Source","EarTag","Genotype","Treatment","TreatmentWeek","WeekTreatment","Individual","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1946","a9b24370bdb02a8ee91855de7b8b2813","G10-5513-4",3.35977601493234,"G10","2","5513","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5513","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
"2066","b8455681fc92d051fdd023aa62417fb3","A5272-2",3.34608030592734,"G1","0","5272","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5272","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1918","a6bfdb3176b2fc52c2e55ef46213f792","G11-5516-8",3.34190231362468,"G11","6","5516","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5516","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"764","2ef1e51ab1cf99a3c6417b05a060830e","G10-5513-8",3.34029227557411,"G10","6","5513","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5513","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"364","0ebb2cf4a2017aeaefadf9ae5062eb62","G4_5931_8",3.33420845366238,"G4","6","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1884","a6bfdb3176b2fc52c2e55ef46213f792","G11-5515-2",3.31731869137497,"G11","0","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5515","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"1605","924668f542df9de35c2226e4a6cf09bd","A5272-2",3.2823454429573,"G1","0","5272","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5272","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1225","693829f035ea531a3e3642b5fa067eef","G11-5516-8",3.27179247487731,"G11","6","5516","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5516","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1894","a6bfdb3176b2fc52c2e55ef46213f792","G4_5930_4",3.24729392173189,"G4","2","5930","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5930","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"2185","de689038d335b0e895f90f08f59c3ab1","G4_5931_4",3.23468685478321,"G4","2","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"2201","de689038d335b0e895f90f08f59c3ab1","A5267-6",3.23121110579225,"G1","4","5267","IL10","IL10-SPF","IL10-SPF W4","W4 IL10-SPF","IL10-SPF W4-5267","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1124","5858157a5f3c4bdbc235927eae7ff303","G11-5515-8",3.20784729586426,"G11","6","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5515","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"2037","b8455681fc92d051fdd023aa62417fb3","G4_5931_4",3.20027529249828,"G4","2","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5931","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"727","2c982937754e6321f861027032db80f7","G4_5933_6",3.19794584500467,"G4","4","5933","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5933","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"330","0ebb2cf4a2017aeaefadf9ae5062eb62","G4_5930_2",3.19480519480519,"G4","0","5930","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5930","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1576","924668f542df9de35c2226e4a6cf09bd","G4_5932_2",3.19348778960551,"G4","0","5932","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5932","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"2163","da47a7f676f9a37da03e64a99251fd78","G10-5514-2",3.19148936170213,"G10","0","5514","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5514","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"261","0e6645acd71bc7e1dc285638b8c3b44b","G4_5934_2",3.17951603826674,"G4","0","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5934","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1914","a6bfdb3176b2fc52c2e55ef46213f792","G4_5933_6",3.17460317460317,"G4","4","5933","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5933","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"2588","f80166d86a7f15b69b6ac97505299c3a","A5273-4",3.16319194823868,"G1","2","5273","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1111","5858157a5f3c4bdbc235927eae7ff303","G11-5516-8",3.15494274363169,"G11","6","5516","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5516","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1244","693829f035ea531a3e3642b5fa067eef","G4_5934_6",3.15346881569727,"G4","4","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5934","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1881","a6bfdb3176b2fc52c2e55ef46213f792","A5267-8",3.14802411252512,"G1","6","5267","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5267","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"1224","693829f035ea531a3e3642b5fa067eef","A5267-2",3.14232902033272,"G1","0","5267","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5267","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"2569","f80166d86a7f15b69b6ac97505299c3a","A5273-2",3.13472122517349,"G1","0","5273","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"722","2c982937754e6321f861027032db80f7","G11-5517-8",3.11940680132958,"G11","6","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5517","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"1221","693829f035ea531a3e3642b5fa067eef","G11-5517-4",3.11100636342211,"G11","2","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5517","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1704","940c5c7f5d291961c87dd25da8580e29","G11-5516-8",3.08483290488432,"G11","6","5516","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5516","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"1593","924668f542df9de35c2226e4a6cf09bd","G10-5512-2",3.07482993197279,"G10","0","5512","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5512","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1814","9a13cbb8e1b12468bf22d6a05aafb0c0","G4_5931_8",3.07167235494881,"G4","6","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"1586","924668f542df9de35c2226e4a6cf09bd","G4_5932_4",3.07059195948085,"G4","2","5932","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5932","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1328","6c921e3ae0af506f54295d074ca071bc","G4_5934_4",3.06990881458967,"G4","2","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5934","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"2549","f80166d86a7f15b69b6ac97505299c3a","A5274-8",3.05632735539278,"G1","6","5274","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"916","3d5b2906feb76d0c694fdd77e162e880","G11-5515-4",3.04328223624887,"G11","2","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5515","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"919","3d5b2906feb76d0c694fdd77e162e880","G11-5517-4",3.04030167334433,"G11","2","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5517","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"986","4feb426703234389503a7b994773d50c","A5272-2",3.02740599107712,"G1","0","5272","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5272","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"1202","693829f035ea531a3e3642b5fa067eef","G4_5931_6",3.01805443276745,"G4","4","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5931","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1822","9c6688b479e664fa9d070647653e49ed","A5273-8",3.01685891748004,"G1","6","5273","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5273","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"2220","de689038d335b0e895f90f08f59c3ab1","A5274-2",2.9843322556578,"G1","0","5274","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1943","a9b24370bdb02a8ee91855de7b8b2813","G10-5514-4",2.97647623619779,"G10","2","5514","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5514","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
"736","2ef1e51ab1cf99a3c6417b05a060830e","A5267-8",2.947086403215,"G1","6","5267","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5267","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1912","a6bfdb3176b2fc52c2e55ef46213f792","G11-5517-6",2.93706293706294,"G11","4","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5517","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"557","1dde417c45171347b0ec07088aa49839","G10-5512-4",2.91921249151392,"G10","2","5512","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5512","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"353","0ebb2cf4a2017aeaefadf9ae5062eb62","G4_5933_2",2.89996741609645,"G4","0","5933","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5933","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"25","02408cd609a6b7f8134da2f8955136ac","A5273-2",2.89542952859536,"G1","0","5273","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1595","924668f542df9de35c2226e4a6cf09bd","A5267-2",2.88354898336414,"G1","0","5267","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5267","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1192","6116fd7dc95407952dfa6a8cad835556","G4_5931_8",2.86164347597795,"G4","6","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5931","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA
"1131","5858157a5f3c4bdbc235927eae7ff303","G4_5934_2",2.84186831738886,"G4","0","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5934","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"29","02408cd609a6b7f8134da2f8955136ac","G4_5931_8",2.83538986610659,"G4","6","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"2596","f80166d86a7f15b69b6ac97505299c3a","A5274-2",2.83511564287491,"G1","0","5274","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"2535","f5e65944985d39991cba3fab949a0150","G4_5933_2",2.83479960899316,"G4","0","5933","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5933","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1236","693829f035ea531a3e3642b5fa067eef","G4_5934_4",2.82674772036474,"G4","2","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5934","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"920","3d5b2906feb76d0c694fdd77e162e880","G11-5515-2",2.8140013726836,"G11","0","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5515","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"813","333bbf9224442fc10cd497377d2b1d01","A5272-8",2.79933481152993,"G1","6","5272","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5272","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"1896","a6bfdb3176b2fc52c2e55ef46213f792","G11-5517-4",2.78105114305916,"G11","2","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5517","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"2301","e4597f1dce864c29882fa64f616d1a6c","G11-5517-8",2.76144208642291,"G11","6","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5517","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"2502","f5e65944985d39991cba3fab949a0150","G4_5934_2",2.75745638716939,"G4","0","5934","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5934","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"762","2ef1e51ab1cf99a3c6417b05a060830e","A5273-4",2.73184759166068,"G1","2","5273","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5273","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"316","0ebb2cf4a2017aeaefadf9ae5062eb62","A5273-8",2.72108843537415,"G1","6","5273","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1587","924668f542df9de35c2226e4a6cf09bd","G4_5930_4",2.71995559256175,"G4","2","5930","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5930","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"1779","9a13cbb8e1b12468bf22d6a05aafb0c0","A5267-4",2.71754048860829,"G1","2","5267","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5267","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"929","3d5b2906feb76d0c694fdd77e162e880","G10-5512-4",2.71554650373388,"G10","2","5512","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5512","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"2355","ea9c1edfdf60a0a532f516b20689e41b","A5267-8",2.71265907568654,"G1","6","5267","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5267","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"322","0ebb2cf4a2017aeaefadf9ae5062eb62","A5274-8",2.7027027027027,"G1","6","5274","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"733","2ef1e51ab1cf99a3c6417b05a060830e","G11-5515-2",2.69961107298101,"G11","0","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5515","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1352","6c921e3ae0af506f54295d074ca071bc","G11-5517-2",2.68082953970663,"G11","0","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5517","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1592","924668f542df9de35c2226e4a6cf09bd","G11-5517-2",2.68082953970663,"G11","0","5517","IL10","IL10-SPF+BF","IL10-SPF+BF W0","W0 IL10-SPF+BF","IL10-SPF+BF W0-5517","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"784","333bbf9224442fc10cd497377d2b1d01","G11-5515-8",2.67762460233298,"G11","6","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5515","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"748","2ef1e51ab1cf99a3c6417b05a060830e","G4_5930_4",2.66444629475437,"G4","2","5930","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5930","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1788","9a13cbb8e1b12468bf22d6a05aafb0c0","G4_5930_4",2.66444629475437,"G4","2","5930","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5930","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"761","2ef1e51ab1cf99a3c6417b05a060830e","G11-5515-4",2.66005410279531,"G11","2","5515","IL10","IL10-SPF+BF","IL10-SPF+BF W2","W2 IL10-SPF+BF","IL10-SPF+BF W2-5515","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1661","938fbbe51af86d1d7ebd6817a0f0bd24","G4_5931_8",2.65161459700709,"G4","6","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","acidifaciens"
"1084","5328bc3fa40912ff2a09f9a53ac20c93","A5272-2",2.64499681325685,"G1","0","5272","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5272","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"1906","a6bfdb3176b2fc52c2e55ef46213f792","G10-5514-4",2.64042246759482,"G10","2","5514","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5514","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"829","333bbf9224442fc10cd497377d2b1d01","G4_5933_6",2.63772175536881,"G4","4","5933","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5933","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"1017","51111e66d97d8fd3f0bdf584d69c7835","A5272-8",2.6330376940133,"G1","6","5272","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5272","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"1803","9a13cbb8e1b12468bf22d6a05aafb0c0","A5267-6",2.63283867879368,"G1","4","5267","IL10","IL10-SPF","IL10-SPF W4","W4 IL10-SPF","IL10-SPF W4-5267","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"900","3d5b2906feb76d0c694fdd77e162e880","G10-5514-4",2.61641862698032,"G10","2","5514","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5514","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA
"1201","693829f035ea531a3e3642b5fa067eef","A5267-8",2.61219022103148,"G1","6","5267","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5267","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1311","6c921e3ae0af506f54295d074ca071bc","A5267-8",2.61219022103148,"G1","6","5267","IL10","IL10-SPF","IL10-SPF W6","W6 IL10-SPF","IL10-SPF W6-5267","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"1916","a6bfdb3176b2fc52c2e55ef46213f792","A5274-4",2.59659969088099,"G1","2","5274","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"1118","5858157a5f3c4bdbc235927eae7ff303","G10-5513-2",2.59462032849322,"G10","0","5513","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1917","a6bfdb3176b2fc52c2e55ef46213f792","A5273-4",2.58806613946801,"G1","2","5273","IL10","IL10-SPF","IL10-SPF W2","W2 IL10-SPF","IL10-SPF W2-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"2315","e4597f1dce864c29882fa64f616d1a6c","G11-5516-6",2.58397932816537,"G11","4","5516","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5516","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"238","0df6c802966e8670279671824da4f10a","G10-5514-6",2.58285714285714,"G10","4","5514","IL10","IL10-SPF","IL10-SPF W4","W4 IL10-SPF","IL10-SPF W4-5514","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1774","9a13cbb8e1b12468bf22d6a05aafb0c0","G10-5513-2",2.57081647226851,"G10","0","5513","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"1125","5858157a5f3c4bdbc235927eae7ff303","G10-5513-6",2.5653798256538,"G10","4","5513","IL10","IL10-SPF","IL10-SPF W4","W4 IL10-SPF","IL10-SPF W4-5513","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1210","693829f035ea531a3e3642b5fa067eef","G4_5932_8",2.56229431123648,"G4","6","5932","IL10","IL10-SPF+BF","IL10-SPF+BF W6","W6 IL10-SPF+BF","IL10-SPF+BF W6-5932","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"1132","5858157a5f3c4bdbc235927eae7ff303","A5274-2",2.56155185277294,"G1","0","5274","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5274","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1086","5328bc3fa40912ff2a09f9a53ac20c93","A5273-2",2.56042115338598,"G1","0","5273","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5273","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA
"812","333bbf9224442fc10cd497377d2b1d01","G10-5514-6",2.53714285714286,"G10","4","5514","IL10","IL10-SPF","IL10-SPF W4","W4 IL10-SPF","IL10-SPF W4-5514","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"783","333bbf9224442fc10cd497377d2b1d01","G4_5931_6",2.53300997035839,"G4","4","5931","IL10","IL10-SPF+BF","IL10-SPF+BF W4","W4 IL10-SPF+BF","IL10-SPF+BF W4-5931","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"2222","de689038d335b0e895f90f08f59c3ab1","G10-5512-2",2.50340136054422,"G10","0","5512","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5512","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"1933","a9b24370bdb02a8ee91855de7b8b2813","G10-5514-2",2.49768732654949,"G10","0","5514","IL10","IL10-SPF","IL10-SPF W0","W0 IL10-SPF","IL10-SPF W0-5514","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","pseudolongum"
